phc: starting hill-climb for prompt.md
phc: executor=http://localhost:8082/v1  proposer=anthropic:claude-haiku-4-5-20251001
phc: 25 test cases, max 20 iterations
phc: iter   2  0.7314  REVERT  -0.0595
  [proposer] template splice: 17492 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.6950 [single]
  section_02.json: 5 concepts, fitness=0.8148 [single]
  section_03.json: 3 concepts, fitness=0.8002 [single]
  section_04.json: 5 concepts, fitness=0.7697 [single]
  section_05.json: 4 concepts, fitness=0.8101 [single]
  section_06.json: 2 concepts, fitness=0.7921 [single]
  section_07.json: 6 concepts, fitness=0.7170 [single]
  section_08.json: 5 concepts, fitness=0.7536 [single]
  section_09.json: 3 concepts, fitness=0.7722 [single]
  section_10.json: 3 concepts, fitness=0.8045 [single]
  section_11.json: 4 concepts, fitness=0.9177 [single]
  section_12.json: 5 concepts, fitness=0.8342 [single]
  section_13.json: 4 concepts, fitness=0.8583 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 5 concepts, fitness=0.8365 [single]
  section_16.json: 11 concepts, fitness=0.7846 [torrent]
  section_17.json: 12 concepts, fitness=0.7373 [torrent]
  section_18.json: 13 concepts, fitness=0.8188 [torrent]
  section_19.json: 11 concepts, fitness=0.8064 [torrent]
  section_23.json: 11 concepts, fitness=0.8768 [torrent]
  section_24.json: 4 concepts, fitness=0.7011 [torrent]
  section_26.json: 15 concepts, fitness=0.6941 [torrent]
  section_27.json: 11 concepts, fitness=0.7163 [torrent]
  section_32.json: 10 concepts, fitness=0.7044 [torrent]
  section_33.json: 9 concepts, fitness=0.8526 [torrent]
  AVG FITNESS: 0.7547 (25 samples)
phc: iter   3  0.7547  REVERT  -0.0362
  [proposer] template splice: 17304 chars mutated, 2885 chars preserved
  section_01.json: 5 concepts, fitness=0.6648 [single]
  section_02.json: 3 concepts, fitness=0.7501 [single]
  section_03.json: 3 concepts, fitness=0.8054 [single]
  section_04.json: 5 concepts, fitness=0.8214 [single]
  section_05.json: 4 concepts, fitness=0.8167 [single]
  section_06.json: 2 concepts, fitness=0.8607 [single]
  section_07.json: 6 concepts, fitness=0.7599 [single]
  section_08.json: 6 concepts, fitness=0.8062 [single]
  section_09.json: 4 concepts, fitness=0.7852 [single]
  section_10.json: 3 concepts, fitness=0.8034 [single]
  section_11.json: 4 concepts, fitness=0.8824 [single]
  section_12.json: 5 concepts, fitness=0.8428 [single]
  section_13.json: 4 concepts, fitness=0.8419 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 4 concepts, fitness=0.7363 [single]
  section_16.json: 11 concepts, fitness=0.7264 [torrent]
  section_17.json: 8 concepts, fitness=0.6962 [torrent]
  section_18.json: 15 concepts, fitness=0.8526 [torrent]
  section_19.json: 13 concepts, fitness=0.7496 [torrent]
  section_23.json: 11 concepts, fitness=0.8678 [torrent]
  section_24.json: 4 concepts, fitness=0.6978 [torrent]
  section_26.json: 17 concepts, fitness=0.7354 [torrent]
  section_27.json: 13 concepts, fitness=0.7677 [torrent]
  section_32.json: 11 concepts, fitness=0.6999 [torrent]
  section_33.json: 10 concepts, fitness=0.7756 [torrent]
  AVG FITNESS: 0.7498 (25 samples)
phc: iter   4  0.7498  REVERT  -0.0410
  [proposer] template splice: 13469 chars mutated, 2885 chars preserved
  section_01.json: 7 concepts, fitness=0.8188 [single]
  section_02.json: 6 concepts, fitness=0.8130 [single]
  section_03.json: 3 concepts, fitness=0.8093 [single]
  section_04.json: 5 concepts, fitness=0.9022 [single]
  section_05.json: 5 concepts, fitness=0.8508 [single]
  section_06.json: 3 concepts, fitness=0.8539 [single]
  section_07.json: 7 concepts, fitness=0.7349 [single]
  section_08.json: 7 concepts, fitness=0.8395 [single]
  section_09.json: 4 concepts, fitness=0.8239 [single]
  section_10.json: 4 concepts, fitness=0.8169 [single]
  section_11.json: 4 concepts, fitness=0.8788 [single]
  section_12.json: 5 concepts, fitness=0.8563 [single]
  section_13.json: 4 concepts, fitness=0.8442 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 5 concepts, fitness=0.7953 [single]
  section_16.json: 8 concepts, fitness=0.7147 [torrent]
  section_17.json: 15 concepts, fitness=0.7703 [torrent]
  section_18.json: 9 concepts, fitness=0.6800 [torrent]
  section_19.json: 12 concepts, fitness=0.7675 [torrent]
  section_23.json: 2 concepts, fitness=0.6035 [torrent]
  section_24.json: 11 concepts, fitness=0.7334 [torrent]
  section_26.json: 19 concepts, fitness=0.6880 [torrent]
  section_27.json: 13 concepts, fitness=0.7699 [torrent]
  section_32.json: 19 concepts, fitness=0.7413 [torrent]
  section_33.json: 11 concepts, fitness=0.7799 [torrent]
  AVG FITNESS: 0.7555 (25 samples)
phc: iter   5  0.7555  REVERT  -0.0354
  [proposer] template splice: 17363 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7287 [single]
  section_02.json: 0 concepts, fitness=0.0000 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 5 concepts, fitness=0.7561 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 5 concepts, fitness=0.8107 [single]
  section_08.json: 1 concepts, fitness=0.4752 [single]
  section_09.json: 1 concepts, fitness=0.5038 [single]
  section_10.json: 3 concepts, fitness=0.7980 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 1 concepts, fitness=0.4717 [single]
  section_13.json: 0 concepts, fitness=0.0000 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 4 concepts, fitness=0.7936 [single]
  section_16.json: 10 concepts, fitness=0.8045 [torrent]
  section_17.json: 8 concepts, fitness=0.7231 [torrent]
  section_18.json: 0 concepts, fitness=0.0000 [torrent]
  section_19.json: 1 concepts, fitness=0.5014 [torrent]
  section_23.json: 9 concepts, fitness=0.8563 [torrent]
  section_24.json: 11 concepts, fitness=0.8066 [torrent]
  section_26.json: 5 concepts, fitness=0.6247 [torrent]
  section_27.json: 11 concepts, fitness=0.7092 [torrent]
  section_32.json: 17 concepts, fitness=0.7273 [torrent]
  section_33.json: 4 concepts, fitness=0.7080 [torrent]
  AVG FITNESS: 0.4719 (25 samples)
phc: iter   6  0.4719  REVERT  -0.3189
  [proposer] template splice: 17130 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7827 [single]
  section_02.json: 4 concepts, fitness=0.7881 [single]
  section_03.json: 3 concepts, fitness=0.7972 [single]
  section_04.json: 5 concepts, fitness=0.8667 [single]
  section_05.json: 4 concepts, fitness=0.8076 [single]
  section_06.json: 2 concepts, fitness=0.7898 [single]
  section_07.json: 6 concepts, fitness=0.7257 [single]
  section_08.json: 5 concepts, fitness=0.6974 [single]
  section_09.json: 4 concepts, fitness=0.8175 [single]
  section_10.json: 3 concepts, fitness=0.8002 [single]
  section_11.json: 4 concepts, fitness=0.9063 [single]
  section_12.json: 5 concepts, fitness=0.9085 [single]
  section_13.json: 4 concepts, fitness=0.8009 [single]
  section_14.json: 6 concepts, fitness=0.8951 [single]
  section_15.json: 5 concepts, fitness=0.8242 [single]
  section_16.json: 10 concepts, fitness=0.7822 [torrent]
  section_17.json: 15 concepts, fitness=0.7622 [torrent]
  section_18.json: 13 concepts, fitness=0.7919 [torrent]
  section_19.json: 6 concepts, fitness=0.7947 [torrent]
  section_23.json: 10 concepts, fitness=0.8697 [torrent]
  section_24.json: 9 concepts, fitness=0.7964 [torrent]
  section_26.json: 10 concepts, fitness=0.6814 [torrent]
  section_27.json: 13 concepts, fitness=0.7081 [torrent]
  section_32.json: 17 concepts, fitness=0.7678 [torrent]
  section_33.json: 11 concepts, fitness=0.7924 [torrent]
  AVG FITNESS: 0.7982 (25 samples)
phc: iter   7  0.7982  KEEP   +0.0073
  [proposer] template splice: 17654 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7791 [single]
  section_02.json: 3 concepts, fitness=0.7583 [single]
  section_03.json: 3 concepts, fitness=0.8082 [single]
  section_04.json: 6 concepts, fitness=0.7946 [single]
  section_05.json: 4 concepts, fitness=0.8152 [single]
  section_06.json: 2 concepts, fitness=0.7906 [single]
  section_07.json: 6 concepts, fitness=0.7267 [single]
  section_08.json: 5 concepts, fitness=0.7401 [single]
  section_09.json: 4 concepts, fitness=0.7836 [single]
  section_10.json: 3 concepts, fitness=0.8028 [single]
  section_11.json: 4 concepts, fitness=0.9128 [single]
  section_12.json: 5 concepts, fitness=0.8941 [single]
  section_13.json: 3 concepts, fitness=0.8360 [single]
  section_14.json: 6 concepts, fitness=0.8937 [single]
  section_15.json: 5 concepts, fitness=0.8266 [single]
  section_16.json: 11 concepts, fitness=0.7808 [torrent]
  section_17.json: 8 concepts, fitness=0.7954 [torrent]
  section_18.json: 8 concepts, fitness=0.7366 [torrent]
  section_19.json: 10 concepts, fitness=0.8156 [torrent]
  section_23.json: 3 concepts, fitness=0.6025 [torrent]
  section_24.json: 4 concepts, fitness=0.6961 [torrent]
  section_26.json: 15 concepts, fitness=0.7137 [torrent]
  section_27.json: 13 concepts, fitness=0.7654 [torrent]
  section_32.json: 17 concepts, fitness=0.7917 [torrent]
  section_33.json: 11 concepts, fitness=0.7980 [torrent]
  AVG FITNESS: 0.7863 (25 samples)
phc: iter   8  0.7863  REVERT  -0.0119
  [proposer] template splice: 17386 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.8083 [single]
  section_02.json: 4 concepts, fitness=0.8116 [single]
  section_03.json: 3 concepts, fitness=0.7989 [single]
  section_04.json: 4 concepts, fitness=0.8617 [single]
  section_05.json: 5 concepts, fitness=0.8789 [single]
  section_06.json: 2 concepts, fitness=0.7935 [single]
  section_07.json: 6 concepts, fitness=0.7253 [single]
  section_08.json: 5 concepts, fitness=0.8034 [single]
  section_09.json: 4 concepts, fitness=0.7880 [single]
  section_10.json: 3 concepts, fitness=0.8051 [single]
  section_11.json: 4 concepts, fitness=0.9053 [single]
  section_12.json: 5 concepts, fitness=0.8594 [single]
  section_13.json: 3 concepts, fitness=0.8465 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 5 concepts, fitness=0.8252 [single]
  section_16.json: 11 concepts, fitness=0.8232 [torrent]
  section_17.json: 15 concepts, fitness=0.7351 [torrent]
  section_18.json: 15 concepts, fitness=0.8524 [torrent]
  section_19.json: 10 concepts, fitness=0.7629 [torrent]
  section_23.json: 10 concepts, fitness=0.8875 [torrent]
  section_24.json: 4 concepts, fitness=0.7022 [torrent]
  section_26.json: 13 concepts, fitness=0.7312 [torrent]
  section_27.json: 13 concepts, fitness=0.7333 [torrent]
  section_32.json: 13 concepts, fitness=0.7857 [torrent]
  section_33.json: 11 concepts, fitness=0.8029 [torrent]
  AVG FITNESS: 0.7731 (25 samples)
phc: iter   9  0.7731  REVERT  -0.0251
  [proposer] template splice: 17493 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7309 [single]
  section_02.json: 4 concepts, fitness=0.8409 [single]
  section_03.json: 3 concepts, fitness=0.7980 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 4 concepts, fitness=0.9042 [single]
  section_06.json: 2 concepts, fitness=0.7991 [single]
  section_07.json: 6 concepts, fitness=0.7475 [single]
  section_08.json: 6 concepts, fitness=0.7685 [single]
  section_09.json: 4 concepts, fitness=0.8207 [single]
  section_10.json: 3 concepts, fitness=0.8011 [single]
  section_11.json: 4 concepts, fitness=0.9156 [single]
  section_12.json: 5 concepts, fitness=0.8226 [single]
  section_13.json: 3 concepts, fitness=0.7870 [single]
  section_14.json: 5 concepts, fitness=0.8890 [single]
  section_15.json: 5 concepts, fitness=0.8221 [single]
  section_16.json: 11 concepts, fitness=0.7848 [torrent]
  section_17.json: 13 concepts, fitness=0.7657 [torrent]
  section_18.json: 14 concepts, fitness=0.7353 [torrent]
  section_19.json: 13 concepts, fitness=0.7778 [torrent]
  section_23.json: 11 concepts, fitness=0.8768 [torrent]
  section_24.json: 4 concepts, fitness=0.6933 [torrent]
  section_26.json: 15 concepts, fitness=0.7614 [torrent]
  section_27.json: 12 concepts, fitness=0.7272 [torrent]
  section_32.json: 17 concepts, fitness=0.7903 [torrent]
  section_33.json: 12 concepts, fitness=0.7734 [torrent]
  AVG FITNESS: 0.7653 (25 samples)
phc: iter  10  0.7653  REVERT  -0.0329
  [proposer] template splice: 17413 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7247 [single]
  section_02.json: 4 concepts, fitness=0.7710 [single]
  section_03.json: 3 concepts, fitness=0.8044 [single]
  section_04.json: 5 concepts, fitness=0.8271 [single]
  section_05.json: 4 concepts, fitness=0.8555 [single]
  section_06.json: 2 concepts, fitness=0.7864 [single]
  section_07.json: 6 concepts, fitness=0.7214 [single]
  section_08.json: 6 concepts, fitness=0.8298 [single]
  section_09.json: 4 concepts, fitness=0.7867 [single]
  section_10.json: 3 concepts, fitness=0.7977 [single]
  section_11.json: 4 concepts, fitness=0.8795 [single]
  section_12.json: 5 concepts, fitness=0.8232 [single]
  section_13.json: 3 concepts, fitness=0.8442 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 5 concepts, fitness=0.7564 [single]
  section_16.json: 10 concepts, fitness=0.7842 [torrent]
  section_17.json: 15 concepts, fitness=0.7553 [torrent]
  section_18.json: 14 concepts, fitness=0.7938 [torrent]
  section_19.json: 12 concepts, fitness=0.7599 [torrent]
  section_23.json: 11 concepts, fitness=0.8540 [torrent]
  section_24.json: 10 concepts, fitness=0.7804 [torrent]
  section_26.json: 15 concepts, fitness=0.7418 [torrent]
  section_27.json: 10 concepts, fitness=0.7686 [torrent]
  section_32.json: 17 concepts, fitness=0.7731 [torrent]
  section_33.json: 10 concepts, fitness=0.8009 [torrent]
  AVG FITNESS: 0.7608 (25 samples)
phc: iter  11  0.7608  REVERT  -0.0374
  [proposer] template splice: 17379 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.8198 [single]
  section_02.json: 4 concepts, fitness=0.8033 [single]
  section_03.json: 3 concepts, fitness=0.7985 [single]
  section_04.json: 5 concepts, fitness=0.8600 [single]
  section_05.json: 3 concepts, fitness=0.8463 [single]
  section_06.json: 2 concepts, fitness=0.7892 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 6 concepts, fitness=0.7504 [single]
  section_09.json: 4 concepts, fitness=0.7889 [single]
  section_10.json: 3 concepts, fitness=0.8027 [single]
  section_11.json: 4 concepts, fitness=0.8991 [single]
  section_12.json: 5 concepts, fitness=0.8676 [single]
  section_13.json: 3 concepts, fitness=0.8428 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 5 concepts, fitness=0.8257 [single]
  section_16.json: 9 concepts, fitness=0.7980 [torrent]
  section_17.json: 14 concepts, fitness=0.7317 [torrent]
  section_18.json: 12 concepts, fitness=0.8255 [torrent]
  section_19.json: 10 concepts, fitness=0.7485 [torrent]
  section_23.json: 2 concepts, fitness=0.6025 [torrent]
  section_24.json: 10 concepts, fitness=0.7818 [torrent]
  section_26.json: 15 concepts, fitness=0.7113 [torrent]
  section_27.json: 12 concepts, fitness=0.7271 [torrent]
  section_32.json: 12 concepts, fitness=0.7930 [torrent]
  section_33.json: 15 concepts, fitness=0.7961 [torrent]
  AVG FITNESS: 0.7284 (25 samples)
phc: iter  12  0.7284  REVERT  -0.0698
  [proposer] template splice: 17315 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7689 [single]
  section_02.json: 4 concepts, fitness=0.7628 [single]
  section_03.json: 3 concepts, fitness=0.7960 [single]
  section_04.json: 5 concepts, fitness=0.9035 [single]
  section_05.json: 5 concepts, fitness=0.8917 [single]
  section_06.json: 2 concepts, fitness=0.7878 [single]
  section_07.json: 6 concepts, fitness=0.7624 [single]
  section_08.json: 5 concepts, fitness=0.7739 [single]
  section_09.json: 3 concepts, fitness=0.7749 [single]
  section_10.json: 3 concepts, fitness=0.8060 [single]
  section_11.json: 4 concepts, fitness=0.8785 [single]
  section_12.json: 5 concepts, fitness=0.9119 [single]
  section_13.json: 3 concepts, fitness=0.7904 [single]
  section_14.json: 5 concepts, fitness=0.8981 [single]
  section_15.json: 5 concepts, fitness=0.8278 [single]
  section_16.json: 11 concepts, fitness=0.7885 [torrent]
  section_17.json: 13 concepts, fitness=0.7570 [torrent]
  section_18.json: 8 concepts, fitness=0.7742 [torrent]
  section_19.json: 13 concepts, fitness=0.7577 [torrent]
  section_23.json: 3 concepts, fitness=0.6035 [torrent]
  section_24.json: 4 concepts, fitness=0.6960 [torrent]
  section_26.json: 14 concepts, fitness=0.7179 [torrent]
  section_27.json: 13 concepts, fitness=0.7185 [torrent]
  section_32.json: 10 concepts, fitness=0.7278 [torrent]
  section_33.json: 11 concepts, fitness=0.7848 [torrent]
  AVG FITNESS: 0.7864 (25 samples)
phc: iter  13  0.7864  REVERT  -0.0118
  [proposer] template splice: 17593 chars mutated, 2885 chars preserved
  section_01.json: 4 concepts, fitness=0.7831 [single]
  section_02.json: 6 concepts, fitness=0.8481 [single]
  section_03.json: 3 concepts, fitness=0.8117 [single]
  section_04.json: 5 concepts, fitness=0.8619 [single]
  section_05.json: 4 concepts, fitness=0.8113 [single]
  section_06.json: 2 concepts, fitness=0.7872 [single]
  section_07.json: 6 concepts, fitness=0.7565 [single]
  section_08.json: 6 concepts, fitness=0.7705 [single]
  section_09.json: 4 concepts, fitness=0.7837 [single]
  section_10.json: 4 concepts, fitness=0.7600 [single]
  section_11.json: 4 concepts, fitness=0.8774 [single]
  section_12.json: 5 concepts, fitness=0.8518 [single]
  section_13.json: 3 concepts, fitness=0.7869 [single]
  section_14.json: 6 concepts, fitness=0.8916 [single]
  section_15.json: 5 concepts, fitness=0.8382 [single]
  section_16.json: 13 concepts, fitness=0.7726 [torrent]
  section_17.json: 15 concepts, fitness=0.7539 [torrent]
  section_18.json: 12 concepts, fitness=0.8563 [torrent]
  section_19.json: 13 concepts, fitness=0.7539 [torrent]
  section_23.json: 11 concepts, fitness=0.8753 [torrent]
  section_24.json: 12 concepts, fitness=0.7607 [torrent]
  section_26.json: 9 concepts, fitness=0.6790 [torrent]
  section_27.json: 14 concepts, fitness=0.7332 [torrent]
  section_32.json: 12 concepts, fitness=0.8205 [torrent]
  section_33.json: 12 concepts, fitness=0.7833 [torrent]
  AVG FITNESS: 0.8003 (25 samples)
phc: iter  14  0.8003  KEEP   +0.0022
  [proposer] template splice: 17593 chars mutated, 2885 chars preserved
  [proposer] rejected (identical to current), retrying with anthropic:claude-haiku-4-5-20251001...
  [proposer] repair failed (missing structural marker: ## USER TEMPLATE), escalating to anthropic:claude-sonnet-4-6...
phc: iter  15  REJECT (missing structural marker: ## USER TEMPLATE)
  [proposer] template splice: 17743 chars mutated, 2885 chars preserved
  section_01.json: 3 concepts, fitness=0.7289 [single]
  section_02.json: 4 concepts, fitness=0.8345 [single]
  section_03.json: 4 concepts, fitness=0.8468 [single]
  section_04.json: 5 concepts, fitness=0.8643 [single]
  section_05.json: 4 concepts, fitness=0.8515 [single]
  section_06.json: 2 concepts, fitness=0.7964 [single]
  section_07.json: 6 concepts, fitness=0.7306 [single]
  section_08.json: 6 concepts, fitness=0.7987 [single]
  section_09.json: 4 concepts, fitness=0.7826 [single]
  section_10.json: 4 concepts, fitness=0.8349 [single]
  section_11.json: 4 concepts, fitness=0.8817 [single]
  section_12.json: 5 concepts, fitness=0.8894 [single]
  section_13.json: 3 concepts, fitness=0.8347 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 5 concepts, fitness=0.7900 [single]
  section_16.json: 11 concepts, fitness=0.7795 [torrent]
  section_17.json: 14 concepts, fitness=0.7671 [torrent]
  section_18.json: 9 concepts, fitness=0.7458 [torrent]
  section_19.json: 14 concepts, fitness=0.7779 [torrent]
  section_23.json: 11 concepts, fitness=0.8689 [torrent]
  section_24.json: 4 concepts, fitness=0.6940 [torrent]
  section_26.json: 16 concepts, fitness=0.7116 [torrent]
  section_27.json: 13 concepts, fitness=0.7370 [torrent]
  section_32.json: 17 concepts, fitness=0.7893 [torrent]
  section_33.json: 14 concepts, fitness=0.8115 [torrent]
  AVG FITNESS: 0.7659 (25 samples)
phc: iter  16  0.7659  REVERT  -0.0344
  [proposer] template splice: 17712 chars mutated, 2885 chars preserved
  section_01.json: 4 concepts, fitness=0.7889 [single]
  section_02.json: 4 concepts, fitness=0.8437 [single]
  section_03.json: 3 concepts, fitness=0.8111 [single]
  section_04.json: 4 concepts, fitness=0.8643 [single]
  section_05.json: 4 concepts, fitness=0.8168 [single]
  section_06.json: 3 concepts, fitness=0.8029 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 5 concepts, fitness=0.7917 [single]
  section_09.json: 4 concepts, fitness=0.7849 [single]
  section_10.json: 4 concepts, fitness=0.7696 [single]
  section_11.json: 4 concepts, fitness=0.8666 [single]
  section_12.json: 5 concepts, fitness=0.8944 [single]
  section_13.json: 3 concepts, fitness=0.7999 [single]
  section_14.json: 6 concepts, fitness=0.8972 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 12 concepts, fitness=0.7424 [torrent]
  section_17.json: 14 concepts, fitness=0.7157 [torrent]
  section_18.json: 13 concepts, fitness=0.7965 [torrent]
  section_19.json: 14 concepts, fitness=0.7776 [torrent]
  section_23.json: 3 concepts, fitness=0.6005 [torrent]
  section_24.json: 4 concepts, fitness=0.6941 [torrent]
  section_26.json: 6 concepts, fitness=0.6963 [torrent]
  section_27.json: 15 concepts, fitness=0.7490 [torrent]
  section_32.json: 17 concepts, fitness=0.7908 [torrent]
  section_33.json: 16 concepts, fitness=0.7820 [torrent]
  AVG FITNESS: 0.7231 (25 samples)
phc: iter  17  0.7231  REVERT  -0.0773
  [proposer] template splice: 17694 chars mutated, 2885 chars preserved
  section_01.json: 4 concepts, fitness=0.7369 [single]
  section_02.json: 4 concepts, fitness=0.8405 [single]
  section_03.json: 3 concepts, fitness=0.8001 [single]
  section_04.json: 5 concepts, fitness=0.8657 [single]
  section_05.json: 5 concepts, fitness=0.8456 [single]
  section_06.json: 3 concepts, fitness=0.7955 [single]
  section_07.json: 6 concepts, fitness=0.7274 [single]
  section_08.json: 5 concepts, fitness=0.7547 [single]
  section_09.json: 4 concepts, fitness=0.7781 [single]
  section_10.json: 4 concepts, fitness=0.7655 [single]
  section_11.json: 4 concepts, fitness=0.9077 [single]
  section_12.json: 5 concepts, fitness=0.8255 [single]
  section_13.json: 3 concepts, fitness=0.8390 [single]
  section_14.json: 5 concepts, fitness=0.8965 [single]
  section_15.json: 5 concepts, fitness=0.7899 [single]
  section_16.json: 12 concepts, fitness=0.7279 [torrent]
  section_17.json: 11 concepts, fitness=0.7699 [torrent]
  section_18.json: 13 concepts, fitness=0.8223 [torrent]
  section_19.json: 13 concepts, fitness=0.7657 [torrent]
  section_23.json: 10 concepts, fitness=0.8782 [torrent]
